T,TM,Tm,SLP,H,VV,V,VM
nan,nan,nan,nan,nan,nan,nan,nan
23.8,33.0,14.9,1010.4,64.0,1.9,3.9,11.1
22.6,33.0,18.1,1013.1,67.0,2.1,11.3,22.2
23.0,30.0,14.4,1016.1,55.0,2.7,6.7,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
24.6,31.7,17.9,1008.5,68.0,2.3,14.1,27.8
27.1,34.8,17.7,1009.7,52.0,1.6,6.1,11.1
26.1,34.8,17.9,1008.8,54.0,2.6,11.9,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
23.6,34.3,17.7,1010.4,51.0,2.6,15.9,22.2
23.2,29.6,16.7,1008.6,54.0,1.9,13.1,22.2
23.8,30.9,16.7,1009.0,52.0,1.6,6.5,13
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
24.7,31.5,17.0,1008.6,57.0,2.1,7.6,14.8
25.6,33.8,17.9,1008.7,47.0,2.1,4.4,13
25.7,36.0,17.8,1009.0,50.0,1.8,9.3,14.8
25.1,36.0,18.3,1009.5,56.0,2.7,9.1,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.5,37.0,18.5,1005.2,30.0,1.9,10.6,22.2
29.2,37.5,20.0,1006.1,38.0,2.6,5.9,14.8
31.1,37.8,21.7,1005.6,34.0,1.8,8.1,27.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.8,36.6,21.4,1007.8,37.0,1.9,8.1,18.3
28.2,36.6,21.9,1007.1,45.0,1.9,6.5,16.5
28.3,36.4,20.1,1004.0,47.0,1.9,6.3,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.3,37.9,20.3,1002.9,35.0,2.3,4.4,11.1
30.5,38.6,20.7,1003.4,36.0,1.9,7.6,14.8
28.0,38.6,23.8,1007.3,48.0,2.3,15.6,25.9
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
31.1,38.5,23.2,1007.7,45.0,1.9,3.7,7.6
29.9,38.5,24.3,1008.3,53.0,1.9,6.7,22.2
31.4,37.8,22.0,1006.9,38.0,2.3,13.7,22.2
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
31.4,39.2,22.8,1002.9,24.0,1.9,11.5,25.9
29.9,38.8,21.7,1000.8,29.0,1.9,12.0,24.1
29.7,38.3,21.6,999.3,35.0,1.9,10.2,22.2
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
32.8,40.8,25.3,1002.0,36.0,1.8,7.2,24.1
34.1,42.0,23.7,1001.4,29.0,1.9,9.3,18.3
34.1,42.0,26.8,1000.8,32.0,1.9,7.8,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.9,37.6,23.2,1003.7,44.0,1.9,3.5,11.1
32.9,39.8,24.7,1001.0,38.0,1.9,5.6,13
30.6,37.4,24.8,1000.8,47.0,1.9,2.2,7.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
36.2,44.6,25.9,999.2,29.0,1.9,15.0,27.8
36.2,44.6,29.2,999.1,32.0,1.9,10.6,18.3
36.8,45.1,28.0,999.1,26.0,1.9,12.0,25.9
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
37.7,45.0,30.5,998.1,32.0,1.9,10.0,22.2
36.2,43.6,29.3,998.4,32.0,2.3,8.1,20.6
35.6,42.6,30.2,999.3,41.0,1.9,8.1,20.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
33.6,40.6,24.8,998.8,47.0,1.9,10.6,18.3
31.9,40.6,26.7,1002.0,61.0,1.9,13.5,20.6
32.4,38.5,26.6,1001.0,63.0,2.3,13.3,22.2
34.1,40.3,28.8,999.7,59.0,1.9,10.9,16.5
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
34.1,43.2,25.7,997.9,57.0,1.9,7.4,14.8
34.2,39.8,29.1,996.7,64.0,1.9,13.7,18.3
35.1,40.2,30.2,995.2,52.0,1.9,8.5,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.3,39.2,28.8,998.6,75.0,1.9,10.2,22.2
30.4,38.6,27.8,997.7,73.0,1.9,8.0,22.2
29.8,38.6,24.6,997.9,71.0,2.3,12.6,16.5
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.7,35.5,24.8,999.0,76.0,1.9,4.3,14.8
33.0,38.4,25.3,997.6,58.0,1.8,4.8,13
35.6,41.0,27.3,995.5,49.0,1.9,7.4,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
31.0,39.4,27.8,999.2,74.0,1.9,11.5,18.3
31.2,35.7,27.2,998.4,75.0,1.9,6.3,14.8
31.2,37.1,27.6,996.8,71.0,1.9,8.1,20.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
33.9,39.2,27.8,995.2,62.0,1.9,8.9,14.8
32.8,37.6,28.4,995.8,67.0,1.9,9.3,18.3
31.6,37.6,26.9,997.5,76.0,1.9,6.5,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
31.1,35.0,27.9,1000.1,81.0,1.9,7.2,11.1
30.3,35.8,27.2,997.5,78.0,1.9,7.6,14.8
29.2,35.4,24.6,996.4,81.0,1.8,7.4,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
31.8,36.7,25.8,998.8,75.0,1.9,8.3,14.8
31.1,37.2,28.2,997.5,76.0,1.9,3.9,11.1
31.7,37.2,26.8,998.3,78.0,1.9,7.8,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.9,35.4,25.8,995.0,77.0,1.9,10.4,18.3
26.8,35.4,24.2,999.0,93.0,1.1,6.3,14.8
29.1,33.8,23.9,996.3,86.0,1.4,2.6,55.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
28.5,34.4,26.3,995.5,87.0,1.6,7.0,14.8
30.4,35.1,24.8,995.2,77.0,1.9,5.2,14.8
30.0,35.5,26.2,997.5,83.0,1.9,3.7,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.0,33.7,26.9,996.5,82.0,1.9,9.8,14.8
31.1,34.9,25.9,998.2,76.0,1.9,6.7,11.1
31.8,36.0,27.5,999.6,71.0,1.9,11.7,18.3
32.2,36.1,27.4,1000.8,69.0,1.9,9.3,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
28.4,30.6,25.3,1001.8,88.0,1.4,3.1,7.6
28.1,30.8,25.8,1000.6,88.0,1.9,8.0,18.3
27.4,30.8,25.4,1000.8,90.0,1.9,3.1,9.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.1,34.6,27.2,1000.0,79.0,1.9,10.2,18.3
29.7,34.9,26.1,1000.3,79.0,1.9,8.3,18.3
27.7,30.7,24.8,1001.8,88.0,1.9,7.2,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
28.4,33.1,26.0,1000.0,86.0,1.9,5.0,18.3
27.4,33.5,24.4,999.1,90.0,1.1,5.4,18.3
29.2,34.4,24.8,999.0,81.0,2.1,7.8,29.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.4,36.5,27.8,999.3,82.0,1.4,2.0,7.6
32.1,36.7,26.8,998.1,74.0,1.9,6.5,14.8
32.0,35.5,27.6,999.8,65.0,2.6,16.9,29.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.1,34.2,25.9,1003.4,76.0,1.9,5.6,9.4
30.2,35.6,25.6,1003.6,68.0,3.1,14.8,22.2
31.7,35.9,27.0,1003.6,59.0,2.6,14.4,22.2
31.6,36.3,25.9,1002.7,58.0,2.7,15.4,25.9
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.9,35.6,25.0,1004.8,58.0,2.3,6.9,14.8
29.6,34.2,25.8,1007.3,67.0,1.9,6.3,14.8
29.3,35.0,24.1,1007.6,70.0,1.9,4.3,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.6,36.0,25.8,1007.2,74.0,1.6,2.8,7.6
31.2,36.4,25.8,1004.4,69.0,1.9,2.0,7.6
31.6,36.8,25.9,1001.5,63.0,2.4,3.9,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.9,36.2,23.4,1002.5,66.0,1.9,1.9,7.6
28.7,34.1,25.2,1002.9,76.0,1.9,9.6,51.9
26.3,34.1,24.0,1003.4,87.0,1.9,6.1,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
28.6,35.6,25.3,1005.4,79.0,2.6,5.7,13
28.6,34.5,24.0,1006.7,81.0,1.9,3.9,9.4
29.0,34.2,24.3,1005.8,76.0,1.9,7.4,20.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.1,34.0,23.8,1007.8,72.0,1.9,6.5,13
28.9,34.9,25.6,1009.5,68.0,2.6,7.6,13
27.9,33.7,23.2,1008.4,67.0,2.6,10.0,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
29.4,34.5,24.3,1009.1,73.0,1.8,1.3,3.5
30.1,34.5,24.8,1010.0,72.0,1.8,1.5,7.6
30.1,35.6,24.8,1010.5,72.0,2.1,4.6,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
27.4,33.1,22.8,1008.0,85.0,1.6,0.4,3.5
27.5,32.5,23.0,1007.1,80.0,1.8,6.1,18.3
26.6,32.6,21.1,1008.8,76.0,1.6,3.3,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
25.6,33.2,19.5,1011.5,67.0,1.4,3.7,14.8
25.0,32.8,17.6,1010.8,69.0,1.4,1.1,5.4
24.8,32.3,17.3,1009.7,68.0,1.4,1.5,7.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
24.1,30.0,17.5,1011.2,74.0,1.0,1.5,9.4
24.3,31.4,18.5,1011.2,72.0,1.1,0.4,3.5
23.0,31.0,18.0,1010.6,71.0,0.8,2.6,9.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
24.1,30.1,16.7,1014.0,62.0,1.4,3.3,11.1
23.8,30.5,18.4,1013.5,71.0,1.6,1.3,3.5
22.4,28.6,16.3,1014.6,67.0,1.0,5.4,11.1
20.9,28.1,13.6,1016.0,59.0,0.8,6.3,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
20.1,27.1,14.0,1015.5,78.0,0.6,3.9,11.1
18.9,27.1,14.5,1015.2,80.0,0.6,1.3,7.6
19.1,25.6,12.4,1016.6,79.0,0.8,0.4,3.5
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
17.8,26.2,11.0,1014.3,68.0,1.0,3.0,11.1
17.6,25.6,11.2,1015.2,68.0,1.1,3.5,14.8
17.0,26.6,10.0,1016.5,70.0,1.1,0.9,7.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
17.8,26.9,11.4,1015.4,67.0,1.4,7.2,20.6
18.2,28.1,10.4,1012.6,61.0,1.8,2.6,11.1
18.0,28.5,10.2,1013.2,68.0,1.1,2.0,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
21.1,28.8,13.8,1012.8,57.0,1.6,9.4,22.2
21.3,28.8,15.0,1011.9,58.0,1.9,9.6,16.5
19.0,28.8,12.5,1014.7,72.0,1.6,2.8,9.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
18.1,28.0,10.0,1016.1,66.0,1.4,1.7,7.6
17.2,28.4,9.8,1015.8,73.0,1.1,1.9,11.1
17.4,28.4,9.2,1016.6,74.0,1.1,1.5,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
16.0,26.1,9.1,1014.4,81.0,1.0,1.1,5.4
16.6,26.2,9.6,1013.9,85.0,0.6,0.0,-
16.2,25.3,9.5,1013.4,81.0,0.8,2.2,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
16.5,24.5,10.8,1012.2,74.0,1.6,10.2,22.2
15.4,24.9,8.2,1012.8,82.0,1.0,0.7,3.5
15.5,24.9,9.4,1015.1,88.0,0.6,2.6,7.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
16.3,22.4,10.8,1012.8,91.0,0.6,3.1,11.1
15.4,19.7,11.6,1016.0,93.0,0.6,4.4,9.4
14.6,15.9,12.5,1016.9,95.0,0.5,0.4,3.5
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
13.6,20.4,7.5,1020.7,67.0,1.1,10.2,40.7
12.3,20.6,6.2,1019.4,71.0,1.3,4.4,18.3
11.9,17.1,6.5,1018.6,84.0,1.1,1.1,5.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
14.3,19.2,10.9,1020.5,91.0,1.6,4.8,11.1
13.2,18.2,9.2,1021,92,0.8,7.6,11.1
11.1,18.3,5,1020.2,80,1.1,8,14.8
12.7,19.8,5.2,1017.9,78,1.3,5.4,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
12.2,19.7,6.1,1018,74,1,3.9,-
11.9,20.7,4.4,1017.9,78,0.8,1.9,7.6
11.7,20.7,6.5,1017.3,89,0.3,0.9,7.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
13.9,21.6,7,1019.6,74,0.8,1.1,9.4
14.9,22.1,8.9,1017.2,78,1,2.8,7.6
12,22.1,9.6,1019.7,95,0.3,0.4,3.5
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
14.5,21,8.6,1023.2,88,1.3,3.5,7.6
14.6,22.3,9,1021.2,86,1,4.4,9.4
13.4,22.3,11.5,1020.6,98,1.4,6.9,13
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
11.7,18.2,9.4,1019.9,96,0.5,8.3,11.1
14.3,20.3,9.9,1019.1,88,0.6,8.9,14.8
16.6,24,10.1,1018.8,75,1.3,10,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
14.8,21.1,10,1019.3,86,0.5,3,11.1
13.9,21.1,10.8,1019.8,83,0.8,2.6,7.6
15.3,24.4,6.8,1016.9,79,0.6,1.9,7.6
18.6,27.8,8.9,1014.4,65,1.3,5.6,57.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
19.7,26.4,15.1,1009.3,72,1.6,15,29.4
13.8,26.4,9.6,1011.3,88,1,8.1,14.8
12.7,19.5,7,1012,66,1.4,9.3,25.9
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
15.3,22.6,5.6,1013.6,67,1.6,4.8,11.1
13.1,22.6,11,1011.8,97,1.1,5.4,11.1
12.6,17.7,9.2,1012.6,91,0.6,3.9,7.6
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
15.1,23.3,7.1,1016.7,77,0.8,1.9,7.6
16.1,24.5,8.2,1014.8,80,0.6,1.9,9.4
17.2,24.6,9,1014.2,75,1.4,8.9,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
17.9,25.2,10.3,1017.4,70,1.1,0.9,7.6
18.9,26.2,12.5,1014.4,72,1.3,2.4,9.4
18.6,25.3,13,1013.3,80,1.1,7.2,22.2
nan,nan,nan,nan,nan,nan,nan,nan
16.3,21.3,12,1015.1,90,1.1,4.3,13
16.1,21.8,10,1017.1,82,1.3,5.7,11.1
17.8,25.7,10.5,1016.3,67,2.1,3.7,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
18.4,25.9,11,1017,65,2.3,6.7,14.8
19.8,27.1,12.8,1017.2,66,2.6,9.8,24.1
22.3,29,14,1014.6,61,2.3,5,13
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
18.9,27.1,12.8,1016.1,65,2.6,9.8,18.3
19.7,27.6,12,1015.2,66,1.9,5.7,13
21.4,29.7,12.6,1016.4,65,1.4,2.8,9.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
21.7,28.4,16.2,1013.1,61,2.3,10.2,22.2
21.5,29.2,15,1010.8,59,2.6,7.4,18.3
22.4,32.5,14.5,1007.2,68,2.1,5.4,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
24.6,32.7,16.5,1010.6,64,1.8,2.8,11.1
25.2,32.7,19.1,1010.7,64,1.9,2.8,11.1
23.4,29.1,19.6,1011.7,69,1.9,4.8,9.4
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
24.2,30.8,17,1008.2,48,1.9,13.1,22.2
24.9,33.2,16.8,1006.2,49,2.6,9.6,25.9
26.8,35.2,17.7,1005.7,50,1.9,7.2,14.8
25.1,35.2,18,1010.4,53,2.1,10.4,25.9
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
27.2,38,21,1009.7,55,1.9,13,18.3
25.8,32.2,19.5,1010.3,49,2.6,12.6,18.3
25.7,32.8,17.5,1010.3,41,2.6,12.8,25.9
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
27,37.2,22.6,1009.8,49,1.9,15.6,27.8
27.7,34.5,21.5,1010.6,55,1.9,5.2,13
29.1,36.5,20.5,1009.2,53,1.8,2.6,11.1
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
25.6,32.3,20,1011.4,64,1.9,5,14.8
26.8,33.6,19.2,1010.5,53,1.6,4.6,11.1
28.1,35.8,18.6,1010,40,1.9,8.7,16.5
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
30.5,38.8,20.6,1006,41,2.4,8.1,22.2
31.5,38.8,22.1,1006.2,39,2.4,8.1,16.5
30.6,38.7,21.5,1007,36,1.9,8.3,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
34.8,42.8,24.2,1001.7,30,2.3,9.6,18.3
34.5,41.7,26.2,1001.8,33,1.9,6.5,11.1
31.8,41.7,26.2,1003.7,43,1.9,7.4,18.3
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
31.8,38.6,24.2,1004.3,54,1.9,1.9,7.6
32.2,39.5,25.2,1002.1,45,1.6,9.3,16.5
30.7,39.5,21.4,1000.5,43,1.6,6.5,14.8
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
